               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.054266,            0.027773,            0.010094,             0.52738,             0.32178,             0.32455,              0.1535,             0.05103,            0.028336,            0.011079,            0.006715,            0.006715,            0.006715
                  75,            0.054131,            0.027902,            0.010108,             0.53029,             0.32238,             0.32488,             0.15357,            0.051026,            0.028334,            0.011092,             0.00667,             0.00667,             0.00667
                  76,            0.054174,            0.027821,            0.010165,             0.52816,             0.32221,             0.32503,             0.15392,            0.051018,            0.028334,            0.011092,            0.006625,            0.006625,            0.006625
                  77,             0.05435,            0.027754,             0.01017,             0.53057,               0.322,             0.32528,             0.15387,            0.051015,            0.028333,            0.011105,             0.00658,             0.00658,             0.00658
                  78,            0.054408,            0.028027,            0.010237,              0.5306,             0.32289,             0.32564,             0.15395,            0.051009,            0.028336,            0.011114,            0.006535,            0.006535,            0.006535
                  79,            0.054166,            0.027974,            0.010142,             0.53474,             0.32274,             0.32621,             0.15424,            0.051005,            0.028334,            0.011111,             0.00649,             0.00649,             0.00649
                  80,            0.054166,            0.028044,            0.010074,             0.53114,             0.32396,             0.32663,             0.15466,            0.050995,            0.028332,            0.011112,            0.006445,            0.006445,            0.006445
                  81,            0.054084,            0.027958,            0.010045,             0.53048,             0.32366,             0.32645,             0.15466,            0.050994,            0.028331,             0.01112,              0.0064,              0.0064,              0.0064
                  82,            0.054128,            0.027608,            0.010085,             0.53071,             0.32325,             0.32653,             0.15479,            0.050997,            0.028327,            0.011129,            0.006355,            0.006355,            0.006355
                  83,             0.05422,            0.027716,            0.010146,             0.53159,             0.32216,             0.32627,             0.15465,            0.051002,            0.028325,            0.011136,             0.00631,             0.00631,             0.00631
                  84,            0.054133,             0.02787,            0.010035,             0.52865,             0.32214,              0.3265,             0.15471,            0.051006,             0.02832,            0.011147,            0.006265,            0.006265,            0.006265
                  85,            0.053873,            0.027931,           0.0099004,             0.53088,             0.32211,             0.32658,             0.15473,            0.051006,            0.028316,             0.01116,             0.00622,             0.00622,             0.00622
                  86,            0.053987,              0.0279,           0.0099864,             0.53058,             0.32319,             0.32666,             0.15454,            0.050999,            0.028311,            0.011169,            0.006175,            0.006175,            0.006175
                  87,            0.053818,              0.0278,            0.010027,             0.52908,             0.32281,             0.32649,             0.15447,            0.050999,            0.028306,            0.011175,             0.00613,             0.00613,             0.00613
                  88,            0.053758,            0.027511,           0.0099305,             0.53299,             0.32105,              0.3262,              0.1543,            0.050998,             0.02831,            0.011178,            0.006085,            0.006085,            0.006085
                  89,            0.053773,            0.027632,           0.0098373,             0.53159,             0.32097,             0.32682,             0.15452,            0.050999,             0.02831,            0.011178,             0.00604,             0.00604,             0.00604
                  90,            0.053766,            0.027807,           0.0098653,             0.52952,             0.32173,             0.32691,             0.15479,            0.050991,            0.028306,            0.011166,            0.005995,            0.005995,            0.005995
                  91,            0.053699,            0.027637,            0.009825,              0.5329,             0.32058,             0.32708,             0.15469,            0.050988,            0.028303,             0.01117,             0.00595,             0.00595,             0.00595
                  92,            0.053697,            0.027695,             0.00988,             0.53465,             0.31973,             0.32677,             0.15452,            0.050984,            0.028304,            0.011184,            0.005905,            0.005905,            0.005905
                  93,            0.053779,            0.027679,            0.009818,             0.53286,             0.32054,             0.32682,             0.15445,            0.050984,            0.028305,            0.011187,             0.00586,             0.00586,             0.00586
                  94,            0.053582,            0.027644,           0.0098304,              0.5302,             0.32114,             0.32676,             0.15435,            0.050975,            0.028308,            0.011198,            0.005815,            0.005815,            0.005815
                  95,            0.053688,            0.027671,           0.0098654,             0.53028,             0.32041,             0.32691,             0.15435,            0.050969,            0.028316,            0.011212,             0.00577,             0.00577,             0.00577
                  96,            0.053611,            0.027647,           0.0097995,             0.52974,             0.32067,             0.32725,             0.15433,             0.05097,            0.028314,            0.011203,            0.005725,            0.005725,            0.005725
                  97,            0.053605,            0.027716,            0.009772,             0.53404,             0.31885,             0.32693,             0.15436,            0.050967,            0.028313,            0.011213,             0.00568,             0.00568,             0.00568
                  98,            0.053549,            0.027625,           0.0097791,             0.53235,             0.32049,             0.32668,             0.15409,            0.050965,            0.028311,            0.011214,            0.005635,            0.005635,            0.005635
                  99,            0.053436,            0.027658,           0.0097143,              0.5309,              0.3211,             0.32648,             0.15417,            0.050955,             0.02831,            0.011215,             0.00559,             0.00559,             0.00559
                 100,            0.053427,            0.027426,           0.0097146,             0.53113,             0.31966,             0.32643,             0.15408,            0.050947,             0.02831,            0.011226,            0.005545,            0.005545,            0.005545
                 101,            0.053401,            0.027548,           0.0096851,             0.53239,              0.3208,              0.3269,              0.1544,            0.050939,            0.028307,            0.011216,              0.0055,              0.0055,              0.0055
                 102,            0.053367,            0.027625,           0.0096631,             0.53265,             0.31999,             0.32674,             0.15444,            0.050934,            0.028309,            0.011228,            0.005455,            0.005455,            0.005455
                 103,            0.053303,            0.027643,           0.0096566,             0.53306,             0.31947,             0.32712,             0.15465,            0.050931,            0.028308,            0.011231,             0.00541,             0.00541,             0.00541
                 104,            0.053387,            0.027639,           0.0096317,             0.53362,             0.31903,              0.3272,             0.15481,            0.050927,            0.028309,            0.011236,            0.005365,            0.005365,            0.005365
                 105,            0.053329,             0.02765,           0.0096713,              0.5328,             0.31896,             0.32721,             0.15498,            0.050919,            0.028305,            0.011246,             0.00532,             0.00532,             0.00532
                 106,            0.053294,            0.027588,           0.0096242,             0.53449,             0.31915,             0.32721,             0.15491,            0.050913,            0.028305,            0.011251,            0.005275,            0.005275,            0.005275
                 107,            0.053185,            0.027582,           0.0095603,             0.53032,             0.32072,             0.32748,             0.15486,            0.050911,            0.028311,            0.011254,             0.00523,             0.00523,             0.00523
                 108,            0.053195,            0.027344,           0.0095009,             0.53042,             0.32008,             0.32784,             0.15504,            0.050901,            0.028313,            0.011256,            0.005185,            0.005185,            0.005185
                 109,             0.05315,            0.027661,           0.0095419,             0.53042,             0.32049,             0.32788,              0.1551,              0.0509,            0.028315,            0.011263,             0.00514,             0.00514,             0.00514
                 110,            0.053026,            0.027579,           0.0095332,             0.52547,             0.32157,             0.32833,             0.15528,            0.050898,            0.028318,            0.011267,            0.005095,            0.005095,            0.005095
                 111,            0.053056,             0.02739,           0.0095587,             0.52642,             0.32083,             0.32834,              0.1554,            0.050899,            0.028321,            0.011279,             0.00505,             0.00505,             0.00505
                 112,            0.053064,            0.027527,           0.0095275,             0.52412,             0.32165,             0.32884,              0.1557,            0.050896,             0.02832,            0.011279,            0.005005,            0.005005,            0.005005
                 113,            0.053131,            0.027476,           0.0094726,             0.52276,             0.32176,             0.32872,              0.1557,            0.050897,            0.028326,            0.011283,             0.00496,             0.00496,             0.00496
                 114,            0.052936,            0.027423,           0.0094319,             0.52484,             0.32086,             0.32844,             0.15567,            0.050897,            0.028328,            0.011282,            0.004915,            0.004915,            0.004915
                 115,            0.052993,            0.027493,           0.0094722,             0.52389,             0.32114,             0.32895,             0.15581,            0.050896,            0.028327,            0.011265,             0.00487,             0.00487,             0.00487
                 116,             0.05289,            0.027438,           0.0094588,             0.52296,             0.32081,             0.32856,             0.15576,            0.050886,            0.028327,             0.01126,            0.004825,            0.004825,            0.004825
                 117,             0.05301,             0.02766,           0.0094895,             0.52445,             0.32045,              0.3288,             0.15576,            0.050887,            0.028328,            0.011256,             0.00478,             0.00478,             0.00478
                 118,            0.052854,            0.027408,           0.0093692,             0.52462,             0.32013,             0.32899,             0.15583,            0.050881,            0.028329,            0.011265,            0.004735,            0.004735,            0.004735
                 119,            0.052907,            0.027531,            0.009428,             0.52221,             0.32039,             0.32912,             0.15565,            0.050879,            0.028328,            0.011278,             0.00469,             0.00469,             0.00469
                 120,            0.052818,            0.027343,           0.0094507,             0.51893,             0.32106,             0.32932,             0.15566,            0.050875,            0.028331,            0.011275,            0.004645,            0.004645,            0.004645
                 121,            0.052793,            0.027483,           0.0094585,                0.52,             0.32137,                0.33,             0.15595,            0.050873,            0.028325,            0.011273,              0.0046,              0.0046,              0.0046
                 122,            0.052846,            0.027324,           0.0094187,             0.52177,             0.32087,             0.32997,             0.15598,            0.050874,            0.028323,            0.011275,            0.004555,            0.004555,            0.004555
                 123,            0.052592,            0.027378,           0.0092588,             0.51854,             0.32217,             0.32996,             0.15593,            0.050871,            0.028325,            0.011283,             0.00451,             0.00451,             0.00451
                 124,            0.052628,             0.02758,           0.0093487,             0.51851,             0.32208,             0.33005,             0.15593,            0.050868,            0.028327,            0.011286,            0.004465,            0.004465,            0.004465
                 125,            0.052582,            0.027144,           0.0092918,             0.52268,              0.3209,             0.33044,             0.15623,            0.050863,            0.028327,            0.011286,             0.00442,             0.00442,             0.00442
                 126,            0.052656,            0.027479,           0.0093345,             0.52232,             0.32177,             0.33076,             0.15631,             0.05086,            0.028331,            0.011273,            0.004375,            0.004375,            0.004375
                 127,            0.052509,            0.027204,           0.0092645,             0.51877,             0.32298,             0.33069,             0.15632,            0.050856,             0.02833,            0.011263,             0.00433,             0.00433,             0.00433
                 128,            0.052683,             0.02722,           0.0092735,             0.52121,             0.32214,             0.33106,             0.15646,            0.050846,            0.028327,            0.011255,            0.004285,            0.004285,            0.004285
                 129,            0.052511,             0.02727,           0.0091876,              0.5218,             0.32257,              0.3315,             0.15679,            0.050835,             0.02833,            0.011248,             0.00424,             0.00424,             0.00424
                 130,            0.052475,            0.027431,           0.0091933,             0.52279,              0.3228,             0.33223,             0.15704,            0.050823,            0.028332,            0.011243,            0.004195,            0.004195,            0.004195
                 131,            0.052423,            0.027181,           0.0092102,             0.52136,             0.32299,             0.33205,             0.15689,            0.050819,            0.028334,            0.011247,             0.00415,             0.00415,             0.00415
                 132,            0.052455,            0.027284,            0.009251,             0.52277,              0.3222,             0.33207,             0.15715,            0.050816,            0.028336,            0.011248,            0.004105,            0.004105,            0.004105
                 133,            0.052318,            0.027257,           0.0091764,             0.52355,             0.32124,             0.33191,             0.15726,            0.050812,            0.028338,            0.011259,             0.00406,             0.00406,             0.00406
                 134,             0.05225,            0.027267,           0.0090552,             0.52483,             0.32088,             0.33171,             0.15717,            0.050804,            0.028338,            0.011266,            0.004015,            0.004015,            0.004015
                 135,            0.052311,            0.027354,           0.0091671,             0.52326,             0.32156,             0.33199,             0.15739,            0.050801,            0.028337,            0.011256,             0.00397,             0.00397,             0.00397
                 136,            0.052271,            0.027291,            0.009118,             0.51915,             0.32203,             0.33255,             0.15751,            0.050804,            0.028343,            0.011249,            0.003925,            0.003925,            0.003925
                 137,            0.052236,            0.027047,           0.0090782,             0.52026,              0.3223,             0.33309,             0.15775,            0.050802,            0.028346,            0.011245,             0.00388,             0.00388,             0.00388
                 138,            0.052138,             0.02719,           0.0090893,             0.51916,             0.32231,             0.33335,             0.15805,            0.050804,             0.02835,            0.011252,            0.003835,            0.003835,            0.003835
                 139,            0.052142,            0.027205,           0.0091281,             0.52243,             0.32217,             0.33354,             0.15801,            0.050798,            0.028354,            0.011255,             0.00379,             0.00379,             0.00379
                 140,            0.052274,            0.027376,           0.0090415,             0.52872,             0.31996,             0.33368,             0.15806,            0.050795,            0.028357,            0.011256,            0.003745,            0.003745,            0.003745
