               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.060046,            0.030597,            0.010723,             0.53452,             0.31458,             0.32887,             0.15793,            0.055684,             0.03025,            0.011765,             0.00658,             0.00658,             0.00658
                  78,            0.060143,            0.030881,            0.010699,             0.53312,             0.31547,             0.32913,             0.15796,            0.055676,            0.030245,             0.01177,            0.006535,            0.006535,            0.006535
                  79,            0.059959,            0.030803,             0.01065,             0.53399,             0.31524,             0.32907,             0.15811,            0.055666,            0.030241,            0.011773,             0.00649,             0.00649,             0.00649
                  80,            0.059767,            0.030841,            0.010578,             0.52957,             0.31787,             0.32954,             0.15819,            0.055659,            0.030239,             0.01178,            0.006445,            0.006445,            0.006445
                  81,            0.059771,            0.030831,             0.01055,             0.52971,             0.31826,             0.32958,             0.15819,            0.055652,            0.030243,            0.011785,              0.0064,              0.0064,              0.0064
                  82,             0.05972,            0.030401,            0.010568,             0.52651,             0.31941,             0.32984,             0.15817,            0.055648,            0.030244,            0.011801,            0.006355,            0.006355,            0.006355
                  83,            0.059861,            0.030472,             0.01059,             0.52494,             0.31974,             0.32955,             0.15811,            0.055644,            0.030248,            0.011813,             0.00631,             0.00631,             0.00631
                  84,            0.059832,            0.030699,            0.010501,             0.53001,             0.31931,             0.32992,             0.15836,            0.055641,            0.030249,            0.011826,            0.006265,            0.006265,            0.006265
                  85,            0.059615,            0.030769,            0.010426,             0.53025,             0.31858,             0.32954,             0.15829,            0.055639,            0.030255,            0.011836,             0.00622,             0.00622,             0.00622
                  86,             0.05973,            0.030707,            0.010502,             0.52995,             0.31903,             0.32984,             0.15835,            0.055638,            0.030257,            0.011839,            0.006175,            0.006175,            0.006175
                  87,            0.059694,             0.03066,            0.010511,             0.52954,             0.31853,             0.32969,              0.1583,             0.05564,            0.030256,            0.011842,             0.00613,             0.00613,             0.00613
                  88,            0.059593,            0.030293,            0.010438,             0.53099,             0.31794,             0.32992,             0.15834,            0.055639,            0.030259,            0.011852,            0.006085,            0.006085,            0.006085
                  89,            0.059596,            0.030478,            0.010414,             0.53195,              0.3188,             0.32981,             0.15829,             0.05564,            0.030263,            0.011865,             0.00604,             0.00604,             0.00604
                  90,            0.059553,            0.030642,            0.010412,             0.52894,             0.31968,             0.33006,             0.15836,            0.055637,             0.03026,            0.011881,            0.005995,            0.005995,            0.005995
